iteration	time	f_value	arclength
2.360000000000000000e+02	3.395352025490162573e-01	8.055138660288273592e-03	1.453790337969665045e-02
2.370000000000000000e+02	3.514874716698926926e-01	7.654915307970406972e-03	1.530460316226230424e-02
2.380000000000000000e+02	3.638604828406821201e-01	7.274899901331964396e-03	1.609176153706323026e-02
2.390000000000000000e+02	3.766690469622065995e-01	6.918261448100061599e-03	1.689708148052146072e-02
2.410000000000000000e+02	4.036547028699399853e-01	6.286464570168348587e-03	1.855080236587978298e-02
2.420000000000000000e+02	4.178640973727454910e-01	6.015926461180438889e-03	1.939236226259606621e-02
2.430000000000000000e+02	4.325736889268941288e-01	5.777725597832930778e-03	2.023841655464898859e-02
2.440000000000000000e+02	4.478010853966855609e-01	5.560749986702659929e-03	2.108602214457633989e-02
2.450000000000000000e+02	4.635645144759106828e-01	5.344184926543735920e-03	2.193624816939601652e-02
2.470000000000000000e+02	4.967756120682689791e-01	4.907714432809399084e-03	2.365979402684886129e-02
2.480000000000000000e+02	5.142630353562001044e-01	4.686187143510634444e-03	2.454076204551547055e-02
2.490000000000000000e+02	5.323660483909355978e-01	4.461470482720527979e-03	2.543960100120822021e-02
2.500000000000000000e+02	5.511063210737583429e-01	4.232888295873505138e-03	2.636009713412157396e-02
2.510000000000000000e+02	5.705062861266871899e-01	3.999826915902379709e-03	2.730601748734871187e-02
2.530000000000000000e+02	6.113790003960866137e-01	3.518176604930832885e-03	2.928906344286176175e-02
2.540000000000000000e+02	6.329006755942037099e-01	3.268762189044672421e-03	3.033355472193548230e-02
2.550000000000000000e+02	6.551799536917212174e-01	3.013252079912130416e-03	3.141816751598611179e-02
2.560000000000000000e+02	6.782435037163956348e-01	2.751540560835859760e-03	3.254639439590775729e-02
2.570000000000000000e+02	7.021189334952394612e-01	2.483699125555082193e-03	3.372159047680774874e-02
2.590000000000000000e+02	7.524207570679853907e-01	1.931104915505433292e-03	3.622525789600746643e-02
