iteration	time	x1	x2	radius	f_value	arclength
1.610000000000000000e+02	2.535167611427936382e-02	3.989668336276714494e-02	1.998843394137034615e-02	4.462379225007021694e-02	2.125434915651000164e-02	1.039603120818930843e-04
1.630000000000000000e+02	2.716794324273520689e-02	3.988137429353510316e-02	1.998671673126041493e-02	4.460933603223306287e-02	2.123447620595586907e-02	1.193653618413537885e-04
1.640000000000000000e+02	2.812430525368457210e-02	3.987289047177570295e-02	1.998576472708289004e-02	4.460132493884606808e-02	2.122346850802497506e-02	1.279024136415821101e-04
1.660000000000000000e+02	3.013921152310290730e-02	3.985406296467901982e-02	1.998365105096107722e-02	4.458354678711842767e-02	2.119905342419964311e-02	1.468481535934404707e-04
1.670000000000000000e+02	3.120016769056584496e-02	3.984363012215699773e-02	1.998247923124085376e-02	4.457369557865074189e-02	2.118553234861538653e-02	1.573465736947843264e-04
1.690000000000000000e+02	3.343543760815392146e-02	3.982047931547184894e-02	1.997987746447831350e-02	4.455183583657905400e-02	2.115554902489826319e-02	1.806430559691273073e-04
1.700000000000000000e+02	3.461242704979874268e-02	3.980765201016969040e-02	1.997843501947762362e-02	4.453972411668326303e-02	2.113894807719246538e-02	1.935511698757364743e-04
1.720000000000000000e+02	3.709216106041180600e-02	3.977919086602371701e-02	1.997523231677646172e-02	4.451285131357837072e-02	2.110214478622597645e-02	2.221918496409853896e-04
1.730000000000000000e+02	3.839787395244970147e-02	3.976342304250794074e-02	1.997345666405890216e-02	4.449796380924064820e-02	2.108177358211260621e-02	2.380592796142783920e-04
1.750000000000000000e+02	4.114880828704948340e-02	3.972844211296651384e-02	1.996951402110033746e-02	4.446493678126906685e-02	2.103662655893114020e-02	2.732615473791859349e-04
1.760000000000000000e+02	4.259732268837780611e-02	3.970906499081146290e-02	1.996732806333032656e-02	4.444664253273971494e-02	2.101164568889007933e-02	2.927614911093734894e-04
1.780000000000000000e+02	4.564911763125928390e-02	3.966608381762368185e-02	1.996247421715473952e-02	4.440606470176472476e-02	2.095630483786709020e-02	3.360156482537322701e-04
